Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Vesta Caramel 1l Ice Cream","Desserts & Ice Creams","ANG-DES-0256","വെസ്റ്റ കാരമൽ 1l ഐസ് ക്രീം","1 L","₹260","₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/caramel-1000ml.png"
"Vesta Caramel Sundae Ice Cream","Desserts & Ice Creams","ANG-DES-0257","വെസ്റ്റ കാരമൽ സൺഡേ ഐസ് ക്രീം","150 ml","₹70","₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/sundae-caramel.png"
"Vesta Choco Bar Ice Cream","Desserts & Ice Creams","ANG-DES-0258","വെസ്റ്റ Choco ബാർ ഐസ് ക്രീം","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/choco-bar2.png"
"Vesta Chocobar Vegan Ice Cream","Desserts & Ice Creams","ANG-DES-0259","വെസ്റ്റ ചോക്കോബാർ വീഗൻ ഐസ് ക്രീം","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocobar-vegan.png"
"Vesta Chocolate 1l Ice Cream","Desserts & Ice Creams","ANG-DES-0260","വെസ്റ്റ ചോക്ലേറ്റ് 1l ഐസ് ക്രീം","1 L","₹260","₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocolate-1000ml.png"
"Vesta Chocolate 500ml Ice Cream","Desserts & Ice Creams","ANG-DES-0261","വെസ്റ്റ ചോക്ലേറ്റ് 500ml ഐസ് ക്രീം","500 ml","₹150","₹150","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocolate-vesta.png"
"Vesta Chocolate Conevita Ice Cream","Desserts & Ice Creams","ANG-DES-0262","വെസ്റ്റ ചോക്ലേറ്റ് കോൺവിറ്റ ഐസ് ക്രീം","120 ml","₹50","₹50","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocolate-convevita.png"
"Vesta Chocolate Conevita Vegan Ice Cream","Desserts & Ice Creams","ANG-DES-0263","വെസ്റ്റ ചോക്ലേറ്റ് കോൺവിറ്റ വീഗൻ ഐസ് ക്രീം","120 ml","₹50","₹50","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocolate-vegan-conevita.png"
"Vesta Chocolate Sundae Ice Cream","Desserts & Ice Creams","ANG-DES-0264","വെസ്റ്റ ചോക്ലേറ്റ് സൺഡേ ഐസ് ക്രീം","150 ml","₹70","₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/sundae-chocolate.png"
"Vesta Chocolate Vegan Ice Cream","Desserts & Ice Creams","ANG-DES-0265","വെസ്റ്റ ചോക്ലേറ്റ് വീഗൻ ഐസ് ക്രീം","500 ml; 1 L","₹150; ₹260","₹150; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/chocolate-vegan.png"
"Vesta Dailee Strawberry Ice Cream","Desserts & Ice Creams","ANG-DES-0266","വെസ്റ്റ Dailee സ്ട്രോബെറി ഐസ് ക്രീം","500 ml; 1 L","₹150; ₹260","₹150; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/dailee-strawberry.png"
